Date,VTDATA.Death,VTDATA.DeathConfirmed
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,21,0
2020-4-1,30,0
2020-4-2,29,0
2020-4-3,29,0
2020-4-4,29,0
2020-4-5,29,0
2020-4-6,28,0
2020-4-7,29,0
2020-4-8,35,0
2020-4-9,33,0
2020-4-10,32,0
2020-4-11,77,0
2020-4-12,34,0
2020-4-13,33,0
2020-4-14,64,0
2020-4-15,63,0
2020-4-16,58,0
2020-4-17,32,0
2020-4-18,56,0
2020-4-19,53,0
2020-4-20,49,0
2020-4-21,41,0
2020-4-22,37,0
2020-4-23,44,0
2020-4-24,32,0
2020-4-25,37,0
2020-4-26,34,0
2020-4-27,33,0
2020-4-28,29,0
2020-4-29,26,0
2020-4-30,23,0
2020-5-1,19,0
2020-5-2,11,0
2020-5-3,19,0
2020-5-4,15,0
2020-5-5,33,0
2020-5-6,26,0
2020-5-7,14,0
2020-5-8,15,0
2020-5-9,21,0
2020-5-10,21,0
2020-5-11,14,0
2020-5-12,18,0
2020-5-13,17,0
2020-5-14,18,0
2020-5-15,17,0
2020-5-16,20,0
2020-5-17,14,0
2020-5-18,22,0
2020-5-19,24,0
2020-5-20,15,0
2020-5-21,14,0
2020-5-22,16,0
2020-5-23,21,0
2020-5-24,25,0
2020-5-25,19,0
2020-5-26,25,0
2020-5-27,21,0
2020-5-28,17,0
2020-5-29,14,0
2020-5-30,17,0
2020-5-31,18,0
2020-6-1,16,0
2020-6-2,10,0
2020-6-3,10,0
2020-6-4,13,0
2020-6-5,14,0
2020-6-6,16,0
2020-6-7,14,0
2020-6-8,13,0
2020-6-9,16,0
2020-6-10,11,0
2020-6-11,12,0
2020-6-12,16,0
2020-6-13,11,0
2020-6-14,26,0
2020-6-15,16,0
2020-6-16,12,0
2020-6-17,5,0
2020-6-18,11,0
2020-6-19,8,0
2020-6-20,9,0
2020-6-21,11,0
2020-6-22,8,0
2020-6-23,19,0
2020-6-24,13,0
2020-6-25,15,0
2020-6-26,14,0
2020-6-27,14,0
2020-6-28,15,0
2020-6-29,13,0
2020-6-30,16,0
2020-7-1,17,0
2020-7-2,21,0
2020-7-3,16,0
2020-7-4,16,0
2020-7-5,15,0
2020-7-6,24,0
2020-7-7,13,0
2020-7-8,14,0
2020-7-9,15,0
2020-7-10,11,0
2020-7-11,18,0
2020-7-12,17,0
2020-7-13,10,0
2020-7-14,15,0
2020-7-15,19,0
2020-7-16,25,0
2020-7-17,33,0
2020-7-18,25,0
2020-7-19,24,0
2020-7-20,22,0
2020-7-21,19,0
2020-7-22,14,0
2020-7-23,12,0
2020-7-24,12,0
2020-7-25,13,0
2020-7-26,10,0
2020-7-27,13,0
2020-7-28,18,0
2020-7-29,18,0
2020-7-30,18,0
2020-7-31,16,0
2020-8-1,16,0
2020-8-2,15,0
2020-8-3,14,0
2020-8-4,14,0
2020-8-5,9,0
2020-8-6,6,0
2020-8-7,6,0
2020-8-8,8,0
2020-8-9,6,0
2020-8-10,11,0
2020-8-11,12,0
2020-8-12,9,0
2020-8-13,14,0
2020-8-14,13,0
2020-8-15,14,0
2020-8-16,17,0
2020-8-17,18,0
2020-8-18,17,0
2020-8-19,12,0
2020-8-20,10,0
2020-8-21,10,0
2020-8-22,15,0
2020-8-23,13,0
2020-8-24,11,0
2020-8-25,13,0
2020-8-26,14,0
2020-8-27,12,0
2020-8-28,11,0
2020-8-29,10,0
2020-8-30,13,0
2020-8-31,8,0
2020-9-1,6,0
2020-9-2,2,0
2020-9-3,3,0
2020-9-4,2,0
2020-9-5,4,0
2020-9-6,4,0
2020-9-7,2,0
2020-9-8,4,0
2020-9-9,5,0
2020-9-10,5,0
2020-9-11,4,0
2020-9-12,4,0
2020-9-13,1,0
2020-9-14,3,0
2020-9-15,7,0
2020-9-16,6,0
2020-9-17,2,0
2020-9-18,6,0
2020-9-19,3,0
2020-9-20,2,0
2020-9-21,3,0
2020-9-22,1,0
2020-9-23,2,0
2020-9-24,3,0
2020-9-25,2,0
2020-9-26,1,0
2020-9-27,2,0
2020-9-28,3,0
2020-9-29,5,0
2020-9-30,3,0
2020-10-1,3,0
2020-10-2,1,0
2020-10-3,0,0
2020-10-4,0,0
2020-10-5,1,0
2020-10-6,1,0
2020-10-7,1,0
2020-10-8,1,0
2020-10-9,0,0
2020-10-10,0,0
2020-10-11,0,0
2020-10-12,0,0
2020-10-13,5,0
2020-10-14,0,0
2020-10-15,6,0
2020-10-16,1,0
2020-10-17,3,0
2020-10-18,2,0
2020-10-19,0,0
2020-10-20,0,0
2020-10-21,4,0
2020-10-22,3,0
2020-10-23,3,0
2020-10-24,4,0
2020-10-25,3,0
2020-10-26,11,0
2020-10-27,4,0
2020-10-28,8,0
2020-10-29,6,0
2020-10-30,4,0
2020-10-31,4,0
2020-11-1,4,0
2020-11-2,4,0
2020-11-3,3,0
2020-11-4,8,0
2020-11-5,7,0
2020-11-6,4,0
2020-11-7,4,0
2020-11-8,6,0
2020-11-9,11,0
2020-11-10,15,0
2020-11-11,18,0
2020-11-12,22,0
2020-11-13,24,0
2020-11-14,21,0
2020-11-15,20,0
2020-11-16,20,0
2020-11-17,17,0
2020-11-18,18,0
2020-11-19,18,0
2020-11-20,22,0
2020-11-21,18,0
2020-11-22,22,0
2020-11-23,19,0
2020-11-24,22,0
2020-11-25,24,0
2020-11-26,24,0
2020-11-27,21,0
2020-11-28,19,0
2020-11-29,21,0
2020-11-30,25,0
2020-12-1,32,0
2020-12-2,33,0
2020-12-3,36,0
2020-12-4,33,0
2020-12-5,25,0
2020-12-6,25,0
2020-12-7,31,0
2020-12-8,32,0
2020-12-9,26,0
2020-12-10,23,0
2020-12-11,26,0
2020-12-12,23,0
2020-12-13,24,0
2020-12-14,28,0
2020-12-15,20,0
2020-12-16,33,0
2020-12-17,26,0
2020-12-18,29,0
2020-12-19,20,0
2020-12-20,24,0
2020-12-21,27,0
2020-12-22,43,0
2020-12-23,29,0
2020-12-24,23,0
2020-12-25,23,0
2020-12-26,17,0
2020-12-27,34,0
2020-12-28,20,0
2020-12-29,34,0
2020-12-30,33,0
2020-12-31,31,0
2021-1-1,31,0
2021-1-2,27,0
2021-1-3,31,0
2021-1-4,41,0
2021-1-5,44,0
2021-1-6,40,0
2021-1-7,39,0
2021-1-8,35,0
2021-1-9,40,0
2021-1-10,43,0
2021-1-11,53,0
2021-1-12,56,0
2021-1-13,51,0
2021-1-14,45,0
2021-1-15,45,0
2021-1-16,46,0
2021-1-17,45,0
2021-1-18,44,0
2021-1-19,43,0
2021-1-20,46,0
2021-1-21,50,0
2021-1-22,46,0
2021-1-23,49,0
2021-1-24,51,0
2021-1-25,56,0
2021-1-26,58,0
2021-1-27,47,0
2021-1-28,62,0
2021-1-29,60,0
2021-1-30,62,0
2021-1-31,68,0
2021-2-1,67,0
2021-2-2,59,0
2021-2-3,54,0
2021-2-4,69,0
2021-2-5,64,0
2021-2-6,64,0
2021-2-7,67,0
2021-2-8,63,0
2021-2-9,60,0
2021-2-10,58,0
2021-2-11,54,0
2021-2-12,49,0
2021-2-13,49,0
2021-2-14,49,0
2021-2-15,40,0
2021-2-16,42,0
2021-2-17,46,0
2021-2-18,42,0
2021-2-19,39,0
2021-2-20,39,0
2021-2-21,39,0
2021-2-22,38,0
2021-2-23,37,0
2021-2-24,32,0
2021-2-25,30,0
2021-2-26,25,0
2021-2-27,30,0
2021-2-28,26,0
2021-3-1,29,0
2021-3-2,24,0
2021-3-3,24,0
2021-3-4,27,0
2021-3-5,26,0
2021-3-6,26,0
2021-3-7,31,0
